numero,latitud,longitud,fecha,tmax,tmin
22581,22.16502778,-102.2951944,2003-12-15 00:00:00,23.7,-5
22581,22.16502778,-102.2951944,2003-12-16 00:00:00,20.8,-3.7
22581,22.16502778,-102.2951944,2003-12-17 00:00:00,19.6,1.1
22581,22.16502778,-102.2951944,2003-12-18 00:00:00,23,-3.2
22581,22.16502778,-102.2951944,2003-12-19 00:00:00,20.1,-6
22581,22.16502778,-102.2951944,2003-12-20 00:00:00,20.9,-7
22581,22.16502778,-102.2951944,2003-12-21 00:00:00,22.9,-4.7
22581,22.16502778,-102.2951944,2003-12-22 00:00:00,24.4,-4.2
22581,22.16502778,-102.2951944,2003-12-23 00:00:00,23.6,-2
22581,22.16502778,-102.2951944,2003-12-24 00:00:00,20.3,-0.3
22581,22.16502778,-102.2951944,2003-12-25 00:00:00,22.6,2.9
22581,22.16502778,-102.2951944,2003-12-26 00:00:00,24.2,-2.1
22581,22.16502778,-102.2951944,2003-12-27 00:00:00,23.8,0.6
22581,22.16502778,-102.2951944,2003-12-28 00:00:00,23.2,2.3
22581,22.16502778,-102.2951944,2003-12-29 00:00:00,20.2,4.1
22581,22.16502778,-102.2951944,2003-12-30 00:00:00,21.1,2.2
22581,22.16502778,-102.2951944,2003-12-31 00:00:00,23.7,-0.2
22581,22.16502778,-102.2951944,2004-01-01 00:00:00,21.1,4.1
22581,22.16502778,-102.2951944,2004-01-02 00:00:00,21.1,4.4
22581,22.16502778,-102.2951944,2004-01-03 00:00:00,22.8,1.8
22581,22.16502778,-102.2951944,2004-01-04 00:00:00,22.2,1.7
22581,22.16502778,-102.2951944,2004-01-05 00:00:00,23.4,2.5
22581,22.16502778,-102.2951944,2004-01-06 00:00:00,20.6,11.6
22581,22.16502778,-102.2951944,2004-01-07 00:00:00,20.9,10.3
22581,22.16502778,-102.2951944,2004-01-08 00:00:00,22.6,7.2
22581,22.16502778,-102.2951944,2004-01-09 00:00:00,21.2,9.5
22581,22.16502778,-102.2951944,2004-01-10 00:00:00,16.6,7.7
22581,22.16502778,-102.2951944,2004-01-11 00:00:00,15,3.8
22581,22.16502778,-102.2951944,2004-01-12 00:00:00,18.5,5.5
22581,22.16502778,-102.2951944,2004-01-13 00:00:00,19.6,7.2
22581,22.16502778,-102.2951944,2004-01-14 00:00:00,14.6,8.7
22581,22.16502778,-102.2951944,2004-01-15 00:00:00,16.6,9.1
22581,22.16502778,-102.2951944,2004-01-16 00:00:00,16.6,8.1
22581,22.16502778,-102.2951944,2004-01-17 00:00:00,14.6,3.8
22581,22.16502778,-102.2951944,2004-01-18 00:00:00,18.2,-1.6
22581,22.16502778,-102.2951944,2004-01-19 00:00:00,20.9,-1.5
22581,22.16502778,-102.2951944,2004-01-20 00:00:00,19.4,-0.8
22581,22.16502778,-102.2951944,2004-01-21 00:00:00,22.5,3.8
22581,22.16502778,-102.2951944,2004-01-22 00:00:00,22.6,1.8
22581,22.16502778,-102.2951944,2004-01-23 00:00:00,22.4,5.6
22581,22.16502778,-102.2951944,2004-01-24 00:00:00,20.5,10.4
22581,22.16502778,-102.2951944,2004-01-25 00:00:00,19.9,5.3
22581,22.16502778,-102.2951944,2004-01-26 00:00:00,22,3.2
